"Category","Driver","Variable","Name"
"biology","biomass","Triconia borealis - AF/AM [ind/m3]",
"biology","biomass","Triconia spp. - CI-CV [ind/m3]",
"biology","biomass","Cirripedia - parasitic nauplii [ind/m3]",
"biology","biomass","Ostracoda; 1 lt [ind/m3]",
"biology","biomass","Scolecithricella minor - CV [ind/m3]",
"biology","biomass","Acartia longiremis - CI-CIII [ind/m3]",
"biology","biomass","Acartia longiremis - CV [ind/m3]",
"biology","biomass","Bryozoa - larvae [ind/m3]",
"biology","biomass","Paraeuchaeta spp. - CV [ind/m3]",
"biology","biomass","Acartia longiremis - AF [ind/m3]",
"biology","biomass","Acartia longiremis - AM [ind/m3]",
"biology","biomass","Bradyidius similis - CV [ind/m3]",
"biology","biomass","Copepoda - ova [ind/m3]",
"biology","biomass","Decapoda - larvae [ind/m3]",
"biology","biomass","Euphausiacea - larvae calyptopis [ind/m3]",
"biology","biomass","Euphausiacea - ova [ind/m3]",
"biology","biomass","Pisces - larvae [ind/m3]",
"biology","biomass","Polychaeta - larvae [ind/m3]",
"biology","biomass","Sarsia princeps [ind/m3]",
"biology","biomass","Hydrozoa - medusae [ind/m3]",
"biology","biomass","Metridia lucens - AF [ind/m3]",
"biology","biomass","Metridia lucens - CV [ind/m3]",
"biology","biomass","Paraeuchaeta spp. - CIII [ind/m3]",
"biology","biomass","Scolecithricella minor - AF [ind/m3]",
"biology","biomass","Bradyidius similis - CIV [ind/m3]",
"biology","biomass","Metridia lucens - AM [ind/m3]",
"biology","biomass","Monstrillidae [ind/m3]",
"biology","biomass","Paraeuchaeta spp. - CII [ind/m3]",
"biology","biomass","Scolecithricella minor - CIII [ind/m3]",
"biology","biomass","Scolecithricella minor - CIV [ind/m3]",
"biology","biomass","Spinocalanus sp. - AM [ind/m3]",
